contribution_date,new_date,id,energy_source,clean_cooking,title,mapper,contributor,purp_prob_sol_description),solution_link,sol_open_source,sol_Intellectual_Property,sol_replication_training,total_sol_unit_cost,prototype,product,product_availability,product_advance_order,solution_trl,solution_diffused,end-user_feedback,efficiency_benchmarks,bottlenecks,sdg_tag_1,sdg_tag_2,sdg_tag_3,sdg_tag_4,sdg_tag_5,thematic_tag_1,thematic_tag_2,thematic_tag_3,thematic_tag_4,thematic_tag_5,Latitude ,Longitude ,image_1,image_2,image_3,image_4,image_5,image_6,image_7,image_8,image_9,country,regional_bureau,trl_level,sol_type
Fri Apr 22 2022 15:18:35 GMT+0000 (Coordinated Universal Time),Fri Apr 22 2022 15:18:35,4548,Renewable general,,Renewable Network with Storage 24 hours a day: EcoAndina Foundation,AccLab Argentina,Contributor 11,"The RedRen 24 initiative (Renewable Network with Storage 24 hours a day) proposes to generate electricity for isolated towns in an innovative way. The system will consist of a 10 kW photovoltaic generator and a 50/80 kW hydraulic turbine. This involves building and kicking off a photovoltaic solar hybrid generation plant with storage by water pumping with hydraulic power generation. The system is complemented by a medium voltage line for the distribution of renewable energy. This project will change the situation of towns that currently have electricity generation limited to a few hours per day, and will allow people to use electrical and electronic devices that are currently very limited, such as televisions, refrigerators, etc. The purpose is to carry out a research project that shows the operation of a power generation plant with solar and hydraulic energy that is perfectly replicable in other regions. All this with the great benefit of not generating greenhouse gases. This makes us deeply proud since we will provide benefits to the inhabitants of the Jujuy puna as well as the environment by using the available energies.",https://www.ecoandina.org/proyectos/proyectos-rurales/redren-24,x,,x,,x,,,,Prototype system,,,The innovation lies in building a network powered only by renewable energy that will generate the energy needed for four towns 24 hours a day.,,7.0,9.0,10.0,11.0,,reneweable energy,accessibility,inclusion,reneweable energy,sustainability strategy,-23.316146,-65.759529,file: img-241,,,,,,,,,Argentina,rb_latin_america,7.0,prototype
Fri Apr 22 2022 17:01:34 GMT+0000 (Coordinated Universal Time),Fri Apr 22 2022 17:01:34,4551,Solar,,Solar Heating Savings Kit: EcoAndina Foundation,AccLab Argentina,Contributor 12,"The Solar Heating Savings Kit has two pieces of equipment designed by professionals from the EcoAndina Foundation. On the one hand, it has a 100-liter solar collector for domestic hot water, called the X-Sol 100 solar water heater, and on the other, a Nina 120 parabolic solar cooker with capacity for a pot of up to 10 liters (8 servings). Both pieces of equipment have an estimated lifespan of 15 years.  It was established that the 20 families (from an urban area on the outskirts of the capitals of the provinces of Tucuman and Salta) should be in neighborhoods without natural gas network and in a vulnerable situation, since the purpose is to achieve savings for the families and avoid greenhouse gases emissions, as a result of the combustion of non-renewable energies (such as gas and firewood).",https://www.ecoandina.org/proyectos/proyectos-urbanos/kit-de-ahorro-solar-termico,x,,x,,x,,,,Prototype system,The Solar Heating Savings Kit was distributed among20 families in an urban area on the outskirts of the capitals of the provinces of Tucuman and Salta.,,"With the solar equipment installed, the use of fossil energy for cooking and hygiene is reduced by up to 80%, according to the experiences obtained in rural areas by the EcoAndina Foundation.",,7.0,9.0,10.0,11.0,,reneweable energy,access,affordable energy,inclusion,reneweable energy,-26.564358,-64.882397,file: img-238,,,,,,,,,Argentina,rb_latin_america,7.0,prototype
Fri Apr 22 2022 18:17:53 GMT+0000 (Coordinated Universal Time),Fri Apr 22 2022 18:17:53,4552,Solar ,,Solar Kiosk: EcoAndina Foundation,AccLab Argentina,Contributor 13,"The Solar Kiosk project's purpose is to promote solar cooking and show its benefits both for health and family economy, as well as the benefits for the environment as it can reduce greenhouse gas emissions. It consists of a car fully equipped with a Nina 120 solar cooker, removable waterproof roof, gas cooker with a 2 kg kitchen gas container as an energy alternative, conservator, garbage can, organizer drawer, water can, container for washing hands or washing dishes, a kit of black steel pots, 3 advertising boards, a stool and side tables; in addition, it includes the option of a lighting kit. Its function as a self-sustaining enterprise is that users cook with the sun on public roads and sell food. Its implementation is carried out through courses and follow-up in specific events when the Kiosk hits the streets. The challenge is to make this micro-enterprise work in a society that is very used to firewood and gas. In addition, it is intended for cooking healthy recipes with local raw materials, always considering the principles of safety and hygiene in street food sales. The ultimate goal is that each person who needs a solar cooker can get to know it and be encouraged to use it in their home, as this would minimize spending and maximize energy efficiency.",https://www.ecoandina.org/proyectos/proyectos-urbanos/kiosco-solar,x,,x,,x,,,,Prototype system,"So far, 10 Kiosks have been distributed in various areas of the country.",,,The challenge is to make this micro-enterprise work in a society that is very used to firewood and gas.,7.0,9.0,10.0,11.0,,reneweable energy,affordable energy,alternative energy,inclusion,,-34.996496,-64.967282,file: img-320,,,,,,,,,Argentina,rb_latin_america,7.0,prototype
Fri Apr 22 2022 18:22:12 GMT+0000 (Coordinated Universal Time),Fri Apr 22 2022 18:22:12,4553,Solar,,Yavi Solar Streetlights: EcoAndina Foundation,AccLab Argentina,Contributor 14,"Most of the towns located in the puna are not connected to the national or provincial power grid. In general, they must be autonomous and generate energy with diesel fuel with high costs and the consequent emission of greenhouse gases. Others have generation through photovoltaic microgrids, and the energy is not always enough to cover public lighting in the towns' access or in their social areas. In general, in the towns, the electrical service is rationalized and limited.  Solving the lighting problem in unlit areas of Pueblo Casti and spreading the use of solar technology for clean and efficient lighting are the premises of this project. Photovoltaic equipment will be purchased with the use of LED lights and batteries that enable system autonomy for several days even in the absence of sun.",https://www.ecoandina.org/proyectos/proyectos-rurales/farolas-solares-andinas,x,,x,,x,,,,Prototype system,,,,,7.0,9.0,10.0,11.0,,accessibility,alternative energy,community,inclusion,renewable energy,-23.316146,-65.759529,file: img-363,,,,,,,,,Argentina,rb_latin_america,7.0,prototype
Wed Apr 27 2022 00:44:41 GMT+0000 (Coordinated Universal Time),Wed Apr 27 2022 00:44:41,4559,Household application,,A container without electricity thatstores vegetables: La Caja Verde (The Green Box),AccLab Argentina,Contributor 15,"La Caja Verde consists of a container without electricity that allows to store all the vegetables in a single piece of furniture. This equipment works with water and allelopathy, which is the interaction between vegetables. The system helps keep fruits and vegetables fresh, like they were just picked, for more than two weeks. Hence, the solution makes it possible to take advantage of energy resources by minimizing greenhouse gas emissions, saving money, and to live healthily eating well-preserved food.  This solution is ideal for developing areas, where there is no electricity, and where constant and continuous access to electricity is a luxury. It can also be used in humanitarian disasters as a relief resource for people in need.",https://www.facebook.com/lacajaverdeok/,x,,x,,,x,x,,Full commercial application,,,"These pieces of furniture preserve vegetables using only the interaction between them, while a refrigerator consumes 64 kWh of electricity to preserve the same amount of fruits and vegetables. In addition, its price is equivalent to a quarter of the price of a regular refrigerator. ",,7.0,9.0,12.0,,,alternative energy,cooling,food preservation,food waste,,-34.996496,-64.967282,file: img-50,,,,,,,,,Argentina,rb_latin_america,9.0,product
Thu Apr 28 2022 16:18:15 GMT+0000 (Coordinated Universal Time),Thu Apr 28 2022 16:18:15,4562,Household application,x,An eco-stove built from metal waste: EcoManos,AccLab Argentina,Contributor 16,"This solution consists of an innovative high-efficiency metal stove (rocket combustion system) of 5,000 Kcal which fuel is biomass or organic waste. Externally it has a protective mesh that may or may not have thermal mass; in addition, it vents combustion gases to the outside, making it extremely safe.  To empower people and teach them how to build their own eco-stoves from metal waste, manufacturing workshops are held in low-income neighborhoods.  The purpose of the eco-stove is not only to heat but also to cook and heat sanitary water. For manufacturing it, only machines and tools used for hobbies are needed, so they are easily accessible.",https://www.facebook.com/EcoManosInnovacion,x,,x,,,x,x,,Full commercial application,,,"The eco-stove consumes the organic waste that accumulates in street corners,such as pruning twigs, cardboard, dry leaves, etc. It is extremely safe, it does not generate fumes or particulates, and it vents the monoxide to the outside which prevents poisoning. Therefore, this device provides heat: SAFELY: Because combustion gases are vented to the outside, which prevents poisoning and death from carbon monoxide inhalation. EFFICIENTLY: Because it has a measured coefficient of performance of 80%, one of the highest available for homes and industries; that is, it makes much better use of fuel. ECONOMICALLY: Because it feeds on small pruning branches, wood waste from crates or scraps, pallets, chipping, leaves and dry compressed grass, etc. Also, because its construction is made with standard materials, most of which can be recovered. SUSTAINABLY: Because it works by burning dry organic waste in a very controlled way, that is, biomass that is renewable energy and very easily accessible.",,7.0,9.0,10.0,11.0,,accessibility,alternative energy,inclusion,renewable energy,,-34.996496,-64.967282,file: img-438,,,,,,,,,Argentina,rb_latin_america,9.0,product
Tue May 03 2022 15:46:38 GMT+0000 (Coordinated Universal Time),Tue May 03 2022 15:46:38,4589,Wind,,Savonius Wind Turbinebuilt from waste material,AccLab Argentina,Contributor 17,"The solution is a Savonius-type turbine built from waste material, through which electrical energy is obtained thanks to the principle of energy conservation. The Savonius Wind Turbine works with the kinetic energy of the wind, which causes the movement of the turbine supported by the rotation axis and transforms it into mechanical energy.",https://www.youtube.com/embed/7KRLO9tSa68,x,,x,,x,,,,Prototype System,,,,,7.0,9.0,11.0,,,reneweable energy,alternative energy,,,,-34.6067673,-58.3779475,file: img-240,,,,,,,,,Argentina,rb_latin_america,7.0,prototype
Tue May 03 2022 15:56:24 GMT+0000 (Coordinated Universal Time),Tue May 03 2022 15:56:24,4590,Solar,,A device that injects solar energy into the conventional electrical network: Hiliostechs,AccLab Argentina,Contributor 18,"This project consisted of the development and manufacture of an electronic device that allows energy from solar panels to be adapted for subsequent injection into the conventional electrical network. The electrical voltage provided by a solar panel has the characteristic of being direct current, so to be injected into the conventional network it must be subjected to a process that converts it into alternating current. The solution is designed for residential users who want to venture into clean energy, reduce electricity costs, and take care of the environment.",https://www.puntal.com.ar/tres-jovenes-se-animaron-innovar-y-ganaron-un-premio-100000-n51019,x,,x,,x,,,,Prototype System,,,"The solution is modular, which implies that it could be complemented with the use of other renewable energies (hydraulic PicoTurbines, windmills, etc.) if necessary. As an advantage, the device allows to reduce the electrical consumption of the conventional network of residential users through the production of energy through photovoltaic panels. The components are inexpensive, and the challenge is achieving identical functionality. The estimated cost is between 500 and 600 US dollars, that is, half of what is paid today in the market for a device with similar features.",,7.0,9.0,11.0,,,reneweable energy,accessibility,alternative energy,,,-32.096736,-63.794092,file: img-158,,,,,,,,,Argentina,rb_latin_america,7.0,prototype
Tue May 03 2022 16:24:29 GMT+0000 (Coordinated Universal Time),Tue May 03 2022 16:24:29,4591,Solar ,,"Prototype that ""captures"" sunlight and transmits it to an interior space",AccLab Argentina,Contributor 19,"How to use more natural light and less artificial light in interior spaces? This question was the trigger that planted an idea in three young people, a 17-year-old student and two 18-year-old boys. As a solution to the problem of electricity consumption, a prototype was developed that ""captures"" sunlight and transmits it to an interior space, prioritizing natural and ecological-sustainable energy.  The prototype is an interior lighting system that captures and transports sunlight to closed and dimly lit environments. It does not consume electricity, which makes it friendly to the environment and represents a reduction in energy costs. The system consists of three stages. A solar tracker measures the angle of incidence of light on the platform. With this signal, it controls two engines that manage to direct the base in both axes until it is perpendicular to the incidence of the sun. This system manages to track the sun throughout the day just like sunflower plants do. Then a lens on the oriented platform focuses the solar radiation at a point where the entrance of an optical fiber (Core) is located. This circuit can be replicated as many times as necessary depending on the lighting required. Finally, the light concentrated thanks to the collector is transmitted through the fiber towards the environment to be illuminated. At the fiber optic outlet, a diffuser is placed, responsible for distributing the light evenly.",http://cptsantafe.org/web/tres-jovenes-idearon-atrapar-al-sol-y-dar-luz-a-interiores-fueron-premiados/,x,,x,,x,,,,Prototype System,,,,,7.0,9.0,11.0,,,reneweable energy,alternative energy,,,,-30.315474,-61.164508,file: img-444,,,,,,,,,Argentina,rb_latin_america,7.0,prototype
Tue May 03 2022 17:11:26 GMT+0000 (Coordinated Universal Time),Tue May 03 2022 17:11:26,4592,Renewable general,,Smart Energy Saving System,AccLab Argentina,Contributor 20,"Common use spaces are usually areas of great energy waste. Faced with this reality that they had been observing in their own field of work, a team of researchers from the City of La Plata, province of Buenos Aires, Argentina, developed a smart energy saving system. It is a smart system capable of obtaining information on energy consumption in the different sectors of a building with the aim of carrying out actions to save energy.   This system was conceived based on Local Intelligent Processing Units (LIPUs) that control different rooms, using a set or network of sensors capable of capturing events in the room (presence of people, temperature, appliance connection, etc.), and based on a set of actuators to control electrical appliances. Each device allows to obtain data from different sensors and generate actions in a certain electronic device. On the other hand, the system facilitates the control of electrical components through relays and infrared waves emitters. ",https://www.eldia.com/nota/2019-10-10-3-24-26-crean-un-sistema-inteligente-para-ahorrar-energia-electrica-en-edificios-informacion-general,x,,x,,x,,,,Prototype System,,,,,7.0,9.0,11.0,,,reneweable energy,alternative energy,,,,-34.996496,-64.967282,file: img-426,,,,,,,,,Argentina,rb_latin_america,7.0,prototype
Mon May 09 2022 20:20:18 GMT+0000 (Coordinated Universal Time),Mon May 09 2022 20:20:18,4644,Thermal,,Manual Solar Water Heaters,AccLab Argentina,Contributor 21,"This solution consists of a solar water heater that can be built with traditional materials that are available at any hardware store or sanitary house. It is possible to assemble it in the course of a morning by following the instructions in the simple technology manual written by the work team. The water heater heats up to 80 liters of water per day and costs about a third of the value of a commercial water heater, which runs on gas. Although it does not have the same efficiency, it is an economical alternative to provide a family with hot water that is not suitable for drinking. They are low-cost solar collectors with simple technology. The fundamental aspect is that anyone can assemble them, and thus they do not have to spend 12 or 15 thousand pesos on a water heater from the market.",https://www.conicet.gov.ar/calefones-solares-de-manua,x,,x,,x,,,,Prototype System,,,"The water heater heats up to 80 liters of water per day and costs about a third of the value of a commercial water heater, which runs on gas. Although it does not have the same efficiency, it is an economical alternative to provide a family with hot water that is not suitable for drinking. They are low-cost solar collectors with simple technology. The fundamental aspect is that anyone can assemble them, and thus they do not have to spend 12 or 15 thousand pesos on a water heater from the market. These devices can provide energy to 4 or 5 people.",,7.0,9.0,10.0,11.0,,,,,,,-34.92068,-57.953764,file: img-469,,,,,,,,,Argentina,rb_latin_america,7.0,prototype
Mon May 09 2022 20:42:48 GMT+0000 (Coordinated Universal Time),Mon May 09 2022 20:42:48,4645,Solar,,Solar electricity panel at home: Rayo,AccLab Argentina,Contributor 22,"Rayo is the result of a journey undertaken by the organization Engineering Without Borders to promote renewable energies and, thus, accelerate the energy transition, one of the main mechanisms to mitigate the current climate crisis. Through this undertaking, this project seeks to offer a service that facilitates and simplifies the process of solar panel installation so that more and more people can adopt more sustainable consumption habits. In addition, the social entrepreneurship proposes to train people from left-behind neighborhoods in a new trade and promote labor inclusion.",https://www.rayo.ar/,x,,x,,,x,x,,Full commercial application,"Three photovoltaic systems were already installed in the province of Buenos Aires, Argentina, and over 200 people attended the training course.",,"Having solar panels allows for minimizing the environmental impact, and generates energy and economic savings.",,7.0,9.0,11.0,,,reneweable energy,alternative energy,solar energy,,,-34.996496,-64.967282,file: img-151,,,,,,,,,Argentina,rb_latin_america,9.0,product
Mon May 09 2022 20:51:28 GMT+0000 (Coordinated Universal Time),Mon May 09 2022 20:51:28,4646,Wind,,An open patent and self-build device: Piggott wind turbine,AccLab Argentina,Contributor 23,"This wind turbine is an open patent design by Scottish engineer Hugh Piggott, used by more than 50 organizations in 30 countries in four continents to bring power to rural areas and provide hands-on wind energy training (WindEmpowerment.org). It has a horizontal axis, 3 blades, and can be manufactured in 6 different nominal powers, ranging from 200 to 1000W, and in 3 operating voltages of 12V, 24V and 48V.  With 30 years of improvements and designed under the principles of self-building, simplicity, and robustness, it requires very little maintenance and is ideal for installation in isolated places where there is no standard electricity grid. In short, it is the most widely used self-built wind turbine in the world.  Its purpose, as a solution from the non-profit organization called 500RPM, is to make low-power renewable energy a mass, accessible and local rural electrification technology.",https://www.youtube.com/embed/XffdaqYicLg,x,,x,,x,,,,Prototype System,,,,,7.0,9.0,11.0,12.0,,reneweable energy,affordable energy,green infraestructure,wind energy,,-34.607568,-58.437089,file: img-463,,,,,,,,,Argentina,rb_latin_america,7.0,prototype
Mon May 16 2022 12:54:21 GMT+0000 (Coordinated Universal Time),Mon May 16 2022 12:54:21,4742,Household application,x,"Ecological kitchens and ovens, solar heaters, and a hydric bombing system",AccLab Argentina,Contributor 24,"The Puna region is an area of the altiplano with multiple agroecological characteristics and usage capabilities. The main energy source for its inhabitants is plant-based fuel. They collect the scarce firewood available to cook and keep their houses warm. This, along with excessive animal grazing, has a toll on the environment, contributing to damaged and deforested areas that are increasingly exposed to wind and water erosion. In terms of heating, the traditional firewood kitchen is highly inefficient and dangerous. Another consequence of the harsh conditions in the region is water scarcity. Due to the lack of superficial sources, community members resort to manual extraction techniques to access underground water. The constant need for water, not only for domestic use but also for the animal herds, makes the physical labor of it even more considerable. This project seeks to address these problems by embracing the indigenous knowledge latent in their communities and implementing adequate technologies that can improve these families' well-being and the overall environmental balance. To achieve this, the project entails: the development of hydric infrastructure projects that can provide water to the community through a bombing system to extract, conduct and store underground water; the construction of cost-efficient kitchens that will allow to evacuate smoke, save time and distance collecting fire-wood, and minimize deforestation; and the installation of 2 solar heaters to provide hot water to families for domestic use. Finally, this initiative also will provide training and technical assistance to meet the objective of promoting sustainable, culturally adapted practices and recovering ancestral techniques.",www.ppdargentina.org.ar ,x,,x,,x,,,,Prototype System,"At the moment, the solution has been implemented in the 3 mentioned locations, however the intention is to expand this solution to other communities of the Puna region in the future. ",,,,7.0,10.0,11.0,,,energy efficiency,renewable energy,solar energy,,,-23.316146,-65.759529,file: img-559,,,,,,,,,Argentina,rb_latin_america,7.0,prototype
